Date,Event
1990-08-02,Gulf War Invasion
1997-07-01,Asian Financial Crisis
2001-09-11,9/11 Terrorist Attacks
2003-03-20,Iraq War Invasion
2008-07-11,2008 Financial Peak
2011-02-15,Arab Spring / Libya Crisis
2014-11-27,OPEC No-Cut Decision
2016-11-30,OPEC Algiers Accord
2018-05-08,US Exit from Iran Deal
2020-01-30,WHO Declares COVID Emergency
2020-03-08,Russia-Saudi Price War
2021-06-01,Post-COVID Demand Surge
2022-02-24,Russian Invasion of Ukraine
2022-03-08,US Ban on Russian Oil
2022-06-01,OPEC+ Large Output Hike
